parkID,parkName,lat,lng,capacity,emptyCapacity,workHours,parkType,freeTime,district,isOpen
2381,1293 Yavuz Selim Otomatik Otoparkı,41.0233,28.9529,60,58,24 Saat,KAPALI OTOPARK,15,FATİH,1
2866,15 Temmuz Demokrasi Otogarı,41.0416,28.8946,1000,0,24 Saat,AÇIK OTOPARK,40,BAYRAMPAŞA,1
3068,15 Temmuz Şehitler Meydanı Zeminaltı Otoparkı,41.0251,29.0912,1029,563,24 Saat,KAPALI OTOPARK,15,ÜMRANİYE,1
2338,19 Mayıs Açık,41.0563,28.9941,65,3,24 Saat,AÇIK OTOPARK,0,ŞİŞLİ,1
786,19 Mayıs Caddesi 1,40.8793,29.2303,15,15,09:00-18:00,YOL ÜSTÜ,15,PENDİK,0
787,19 Mayıs Caddesi 2,40.8786,29.2307,15,5,09:00-18:00,YOL ÜSTÜ,15,PENDİK,0
788,19 Mayıs Caddesi 3,40.878,29.2312,20,18,09:00-18:00,YOL ÜSTÜ,15,PENDİK,0
1751,4.Levent P+R Açık Otoparkı,41.0836,29.0081,710,210,24 Saat,AÇIK OTOPARK,5,KAĞITHANE,1
101,Abide-i Hürriyet Caddesi 2,41.0634,28.9876,30,17,08:00-18:00,YOL ÜSTÜ,15,ŞİŞLİ,0
103,Abide-i Hürriyet Caddesi 4,41.0621,28.9875,25,15,08:00-18:00,YOL ÜSTÜ,15,ŞİŞLİ,0
104,Abide-i Hürriyet Caddesi 5,41.0612,28.9873,40,22,08:00-18:00,YOL ÜSTÜ,15,ŞİŞLİ,0
105,Abide-i Hürriyet Caddesi 6,41.0606,28.9871,40,36,08:00-18:00,YOL ÜSTÜ,15,ŞİŞLİ,0
106,Abide-i Hürriyet Caddesi 7,41.0599,28.9867,40,40,08:00-18:00,YOL ÜSTÜ,15,ŞİŞLİ,0
107,Abide-i Hürriyet Caddesi 8,41.059,28.9863,30,15,08:00-18:00,YOL ÜSTÜ,15,ŞİŞLİ,0
2452,Acıbadem Açık Otoparkı,41.0158,29.0576,100,91,06:30-16:30,AÇIK OTOPARK,0,ÜSKÜDAR,0
1084,Acıbadem P+R 1,41.0136,29.0599,80,32,06:30-16:30,YOL ÜSTÜ,0,ÜSKÜDAR,0
345,Ada Karşısı 1,41.0613,29.0376,25,25,08:00-23:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
346,Ada Karşısı Cep 2,41.0722,29.0449,30,17,08:00-23:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
194,Adliye Önü 1,41.0799,29.0115,40,37,07:00-17:00,YOL ÜSTÜ,15,ŞİŞLİ,0
2357,Adnan Kahveci Metro Açık Otoparkı,40.895,29.2274,40,19,07:30-17:30,AÇIK OTOPARK,0,PENDİK,0
3105,Adnan Menderes Vatan Bulvarı 1,41.0207,28.9341,35,22,07:00-17:00,YOL ÜSTÜ,0,FATİH,0
3106,Adnan Menderes Vatan Bulvarı 2,41.0194,28.936,35,24,07:00-17:00,YOL ÜSTÜ,0,FATİH,0
3108,Adnan Menderes Vatan Bulvarı 4,41.0171,28.9394,35,19,07:00-17:00,YOL ÜSTÜ,0,FATİH,0
3109,Adnan Menderes Vatan Bulvarı 5,41.0177,28.9385,35,23,07:00-17:00,YOL ÜSTÜ,0,FATİH,0
3110,Adnan Menderes Vatan Bulvarı 6,41.021,28.9336,35,27,07:00-17:00,YOL ÜSTÜ,0,FATİH,0
215,Afiyet Hastanesi Önü 1,41.0241,29.0841,20,17,08:00-18:00,YOL ÜSTÜ,15,ÜMRANİYE,0
26,Ahmet Fetgeri-Camii Sokak,41.05,28.9942,21,7,08:00-18:00,YOL ÜSTÜ,15,ŞİŞLİ,0
939,Ahmet Kutsi Tecer Caddesi 1,41.0087,28.887,50,50,09:00-17:00,YOL ÜSTÜ,15,GÜNGÖREN,0
940,Ahmet Kutsi Tecer Caddesi 2,41.0077,28.8876,50,33,09:00-17:00,YOL ÜSTÜ,15,GÜNGÖREN,0
1662,Akasyalı Sokak Tenis Kulubü Önü 1,41.0863,29.0113,45,17,08:30-17:30,YOL ÜSTÜ,15,BEŞİKTAŞ,0
1663,Akasyalı Sokak Tenis Kulubü Önü 2,41.0865,29.0111,45,45,08:30-17:30,YOL ÜSTÜ,15,BEŞİKTAŞ,0
224,Akçam Sokak (İş Bankası Önü) 1,41.0866,29.0081,30,30,08:00-18:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
825,Akdeniz Caddesi 1,41.017,28.9429,25,10,09:00-18:00,YOL ÜSTÜ,15,FATİH,0
826,Akdeniz Caddesi 2,41.0193,28.9466,25,25,09:00-18:00,YOL ÜSTÜ,15,FATİH,0
827,Akdeniz Caddesi 3,41.0187,28.9457,25,11,09:00-18:00,YOL ÜSTÜ,15,FATİH,0
828,Akdeniz Caddesi 4,41.0195,28.947,25,9,09:00-18:00,YOL ÜSTÜ,15,FATİH,0
1250,Akgün Caddesi 1,41.1292,29.0248,78,63,07:00-17:00,YOL ÜSTÜ,15,SARIYER,0
1306,Akgün Caddesi 2,41.1289,29.0249,45,30,07:00-17:00,YOL ÜSTÜ,15,SARIYER,0
2497,Albay Faik Sözdener 4,40.9874,29.0214,40,11,09:30-19:00,YOL ÜSTÜ,15,KADIKÖY,0
144,Alemdağ Caddesi 1,41.0251,29.0999,18,11,09:00-18:00,YOL ÜSTÜ,15,ÜMRANİYE,0
1913,Alibeyköy Cep Otogarı Açık Otoparkı,41.0878,28.9445,116,0,24 Saat,AÇIK OTOPARK,30,EYÜP,1
1912,Alibeyköy Cep Otogarı Otobüs Otoparkı,41.0876,28.9452,5000,4986,24 Saat,AÇIK OTOPARK,60,EYÜP,1
2562,Alibeyköy Yeşiltepe Zemin Altı Otoparkı,41.0793,28.9385,159,0,24 Saat,KAPALI OTOPARK,15,EYÜP,1
3201,Altınboynuz Sosyal Tesisleri,41.0581,28.9449,70,66,07:00-23:00,AÇIK OTOPARK,15,EYÜP,0
2154,Altunizade Açık Otopark,41.0245,29.0395,80,53,08:00-19:00,AÇIK OTOPARK,5,ÜSKÜDAR,0
2339,Altunizade Aksoy Sokak 1,41.0208,29.0381,30,19,08:00-19:00,YOL ÜSTÜ,15,ÜSKÜDAR,0
758,Arap Camii Açık Otoparkı,41.0227,28.9723,30,30,08:00-18:00,AÇIK OTOPARK,0,BEYOĞLU,0
1963,Aras Sokak 1,41.0225,28.6223,60,25,06:00-15:00,YOL ÜSTÜ,0,BÜYÜKÇEKMECE,0
3086,Arda Turan Spor Kompleksi Katlı,41.0386,28.907,500,349,24 Saat,KAPALI OTOPARK,15,BAYRAMPAŞA,1
2802,Arnavutköy Zemin Altı Otoparkı,41.1835,28.7395,700,201,24 Saat,KAPALI OTOPARK,15,ARNAVUTKÖY,1
1895,Aslanhane Sokak 1,41.0177,28.9505,26,26,08:30-17:30,YOL ÜSTÜ,15,FATİH,0
1797,Ataköy Atrium AVM,40.9881,28.8459,250,138,24 Saat,AÇIK OTOPARK,15,BAKIRKÖY,1
2824,Ataköy Metro Durağı Yanı Zemin Altı Otoparkı,40.9904,28.8456,150,30,24 Saat,KAPALI OTOPARK,0,BAKIRKÖY,1
3140,Ataşehir Ahlat Sokak,40.9989,29.0992,52,34,07:30-17:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3167,Ataşehir Al Zambak Sokak,41.0011,29.1039,71,71,08:00-16:30,YOL ÜSTÜ,15,ATAŞEHİR,0
3134,Ataşehir Ardıç Sokak 1,40.9971,29.1041,115,115,07:00-16:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3135,Ataşehir Ardıç Sokak 2,40.9989,29.1016,67,67,08:00-17:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3136,Ataşehir Atilla İlhan Caddesi,40.9845,29.111,80,71,08:00-16:30,YOL ÜSTÜ,15,ATAŞEHİR,0
3133,Ataşehir Başak Cengiz Sokak,40.9999,29.1059,15,15,08:00-16:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3128,Ataşehir Begonya Sokak 1,41.0027,29.103,55,55,07:00-16:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3129,Ataşehir Begonya Sokak 2,41.0022,29.1025,55,44,07:00-16:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3130,Ataşehir Begonya Sokak 3,41.0007,29.1008,55,43,07:00-16:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3131,Ataşehir Begonya Sokak 4,40.9996,29.0986,55,47,07:00-16:00,YOL ÜSTÜ,15,ATAŞEHİR,0
328,Ataşehir Bulvarı 1,40.9925,29.1192,24,24,08:00-19:00,YOL ÜSTÜ,15,ATAŞEHİR,0
363,Ataşehir Bulvarı 10,40.9932,29.1277,21,12,08:00-19:00,YOL ÜSTÜ,15,ATAŞEHİR,0
365,Ataşehir Bulvarı 12,40.9935,29.1275,24,24,08:00-19:00,YOL ÜSTÜ,15,ATAŞEHİR,0
366,Ataşehir Bulvarı 13,40.9931,29.1277,24,18,08:00-19:00,YOL ÜSTÜ,15,ATAŞEHİR,0
685,Ataşehir Bulvarı 16,40.9917,29.127,24,15,08:00-19:00,YOL ÜSTÜ,15,ATAŞEHİR,0
2537,Ataşehir Bulvarı 22,40.9941,29.1279,24,17,08:00-19:00,YOL ÜSTÜ,15,ATAŞEHİR,0
2539,Ataşehir Bulvarı 24,40.9934,29.1277,24,10,08:00-19:00,YOL ÜSTÜ,15,ATAŞEHİR,0
332,Ataşehir Bulvarı 5,40.9928,29.1253,24,24,08:00-19:00,YOL ÜSTÜ,15,ATAŞEHİR,0
335,Ataşehir Bulvarı 8,40.9927,29.1261,24,24,08:00-19:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3137,Ataşehir Defne Sokak 1,40.9818,29.1026,44,22,07:00-16:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3212,Ataşehir Defne Sokak 3,40.9808,29.1037,44,24,07:00-16:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3214,Ataşehir Defne Sokak 5,40.9813,29.1027,44,44,07:00-16:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3139,Ataşehir Fesleğen Sokak,40.9909,29.109,95,95,08:00-16:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3126,Ataşehir Feza Sokak 2,40.9943,29.1257,35,20,08:00-19:00,YOL ÜSTÜ,15,ATAŞEHİR,0
1886,Ataşehir Halk Caddesi-Palladıum AVM 1,40.9858,29.099,40,33,08:00-17:30,YOL ÜSTÜ,15,ATAŞEHİR,0
1885,Ataşehir Halk Caddesi-Palladıum AVM 2,40.9861,29.0993,36,26,08:00-17:30,YOL ÜSTÜ,15,ATAŞEHİR,0
3148,Ataşehir Işıklar Caddesi,40.9846,29.1119,50,45,08:00-17:30,YOL ÜSTÜ,15,ATAŞEHİR,0
3160,Ataşehir Işıklar Caddesi 2,40.9851,29.1088,50,41,09:00-17:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3146,Ataşehir Mor Sümbül Sokak,40.9952,29.1006,76,76,08:00-16:30,YOL ÜSTÜ,15,ATAŞEHİR,0
3145,Ataşehir Şebboy Sokak,40.9985,29.1004,80,80,08:00-17:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3161,Ataşehir Topçu İbrahim Sokak,40.9736,29.1011,42,42,07:00-16:00,YOL ÜSTÜ,15,ATAŞEHİR,0
3163,Ataşehir Turgut Özal Bulvarı,40.9929,29.1223,55,50,08:00-18:00,YOL ÜSTÜ,15,ATAŞEHİR,0
